id,en,fi
28,"""I am bound to say that in all the accounts which you have been so good as to give of my own small achievements you have habitually underrated your own abilities.","""Minä olen yhtä halukas kuin velvollinenkin myöntämään, että sinä aina olet itse asettautunut varjoon, kun olet ystävyydessäsi tehnyt selkoa minun teoistani."
29,"It may be that you are not yourself luminous, but you are a conductor of light.","Ehkä et kyllä olekaan omavaloinen, mutta olet hyvä valonjohtaja."
30,"Some people without possessing genius have a remarkable power of stimulating it. I confess, my dear fellow, that I am very much in your debt.""","Löytyy ihmisiä, joilla, vaikka ei neroa, kumminkin on ihmeteltävä kyky kiihottaa muita, ja minä myönnän, kunnon veliseni, että olen sinulle hyvin kiitollinen."""
31,"He had never said as much before, and I must admit that his words gave me keen pleasure, for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods.","Näinkään paljoa ei hän koskaan ennen ollut sanonut, ja minä tunnustan, että hänen sanansa minua ilahuttivat, sillä minua oli usein suututtanut hänen välinpitämättömyytensä minun ihailulleni ja koetuksilleni saattaa hänen menettelytapojansa yleisön tietoon."
32,"I was proud, too, to think that I had so far mastered his system as to apply it in a way which earned his approval.","Minä olin ylpeä, kun sain uskoa päässeeni niin täydellisesti syventymään hänen järjestelmäänsä, että voin sitä käyttää tavalla, joka saavutti hänen hyväksymisensä."
33,He now took the stick from my hands and examined it for a few minutes with his naked eyes.,Hän otti nyt kepin minulta ja tarkasti sitä muutamia minuutteja paljaalla silmällä.
34,"Then with an expression of interest he laid down his cigarette, and carrying the cane to the window, he looked over it again with a convex lens.","Nähtävästi huvitettuna laski hän sitten sigaretin pois, meni akkunan luo ja tutki esinettä suurennuslasilla."
35,"""Interesting, though elementary,"" said he as he returned to his favourite corner of the settee.","""Kieltämättä merkillinen, vaikkakaan siitä ei saa juuri paljoa tietää"", sanoi hän."
36,"""There are certainly one or two indications upon the stick.","""Varmasti osottaa tämä keppi yhtä ja toista."
37,"It gives us the basis for several deductions.""","Siitä saa perusteen useampiin johtopäätöksiin."""
38,"""Has anything escaped me?"" I asked with some self-importance.","""Onko jotain jäänyt minulta huomaamatta?"" kysyin jommoisellakin itseluottamuksella."
39,"""I trust that there is nothing of consequence which I have overlooked?""","""Toivon, etten ole mitään tärkeää laiminlyönyt."""
40,"""I am afraid, my dear Watson, that most of your conclusions were erroneous.","""Minä pelkään, Watson kulta, että useimmat sinun johtopäätöksistäsi ovat vääriä."
41,"When I said that you stimulated me I meant, to be frank, that in noting your fallacies I was occasionally guided towards the truth.","Kun sanoin, että sinä minua kiihotat, tarkotin minä suoraan puhuakseni, että sinun erehdyksiesi huomaaminen jonkun kerran on saattanut minut oikealle tolalle."
42,Not that you are entirely wrong in this instance.,"Ei niin, että olisit aivan väärässä nyt kyseessä olevassa tapauksessa."
43,"The man is certainly a country practitioner. And he walks a good deal.""","Tämä mies suorittaa kieltämättä työnsä maalla ja käy paljon jalan."""
44,"""Then I was right.""","""Siis olen oikeassa."""
45,"""To that extent.""","""Kyllä siinä suhteessa."""
46,"""But that was all.""","""Ja enempää eikö ole sanottavaa asiasta?"""
47,"""No, no, my dear Watson, not all--by no means all.","""Totta kai, on varmasti."
48,"I would suggest, for example, that a presentation to a doctor is more likely to come from a hospital than from a hunt, and that when the initials 'C.C.' are placed before that hospital the words 'Charing Cross' very naturally suggest themselves.""","Tahtoisin esimerkiksi huomauttaa, että lääkärin saaman muistolahjan ennemmin voi otaksua tulleen jostakin sairashuoneesta kuin urheiluseuran jäseniltä, ja kun kirjaimet C. C. ovat ennen H:ta, niin johtuu aivan luonnollisesti mieleen Charing Cross Hospital."""
49,"""You may be right.""","""Voi olla niin, siinä olet ehkä oikeassa."""
50,"""The probability lies in that direction.","""Aivan uskomatonta se kai ei ole."
51,"And if we take this as a working hypothesis we have a fresh basis from which to start our construction of this unknown visitor.""","Jos perustumme edelleen tälle otaksumalle, niin saamme uutta pohjaa arveluillemme tuosta miehestä, joka eilen kävi meitä hakemassa."""
52,"""Well, then, supposing that 'C.C.H.' does stand for 'Charing Cross Hospital,' what further inferences may we draw?""","""Mitä voisimme sitten johtaa siitä asianlaidasta, että C. C. H. merkitsee Charing Cross Hospital?"""
53,"""Do none suggest themselves?","""Eikö mieleesi johdu mitään erikoista?"
54,You know my methods.,Sinä tunnet minun menettelytapani.
55,"Apply them!""","Käytä niitä!"""
56,"""I can only think of the obvious conclusion that the man has practised in town before going to the country.""","""Minä en huomaa mitään muuta kuin sen, että mies toimi kaupungissa ennenkuin muutti maalle."""
57,"""I think that we might venture a little farther than this.","""Vähän pitemmällekin voisimme ehkä päästä."
58,Look at it in this light. On what occasion would it be most probable that such a presentation would be made?,"Koettakaamme ajatella, missä tilaisuudessa tämäntapainen lahja mahdollisuuden mukaan on annettu."
59,When would his friends unite to give him a pledge of their good will?,Koskahan hänen ystävänsä olisivat tulleet ajatelleeksi antaa hänelle tämän todistuksen suosiostaan?
60,Obviously at the moment when Dr. Mortimer withdrew from the service of the hospital in order to start in practice for himself.,"Luultavasti juuri silloin, kun hän oli aikeessa luopua paikastaan sairashuoneessa, ruvetakseen työskentelemään omin päin."
61,We know there has been a presentation.,Tiedämme hänen saaneen lahjan.
62,We believe there has been a change from a town hospital to a country practice.,Luulemme hänen vaihtaneen toimensa sairashuoneessa yksityiseen lääkärintyöhön maalla.
63,"Is it, then, stretching our inference too far to say that the presentation was on the occasion of the change?""","Olisiko silloin liian ennenaikaista otaksua, että lahjan antaminen tapahtui vähää ennen muuttoa?"""
64,"""It certainly seems probable.""","""Ei, se kyllä tuntuu sangen luultavalta."""
65,"""Now, you will observe that he could not have been on the staff of the hospital, since only a man well-established in a London practice could hold such a position, and such a one would not drift into the country.","""Nyt on huomattava, että hänellä ei ole voinut olla vakinaista tointa sairashuoneessa, sillä sellaisen paikan saavat vain Lontooseen lopullisesti asettuneet henkilöt, jotka eivät muuta maalle, kun vaan niin mieleen johtuu."
66,"What was he, then?",Mikä hän sitten oli?
67,If he was in the hospital and yet not on the staff he could only have been a house-surgeon or a house-physician--little more than a senior student.,"Jos hän työskenteli sairashuoneessa ilman vakinaista paikkaa, oli hän epäilemättä toisen arvoluokan lääkäri, ehkä lääketieteen ylioppilas, joka ei ole suorittanut täydellistä tutkintoa."
68,And he left five years ago--the date is on the stick.,"Viisi vuotta sitten lähti hän Lontoosta, sen voi nähdä kepin vuosiluvusta."
69,"So your grave, middle-aged family practitioner vanishes into thin air, my dear Watson, and there emerges a young fellow under thirty, amiable, unambitious, absent-minded, and the possessor of a favourite dog, which I should describe roughly as being larger than a terrier and smaller than a mastiff.""","Sinun vakava, keski-ikäinen perhelääkärisi, rakas Watson, haihtuu kokonaan ilmaan, ja hänen sijalleen ilmestyy nuori, alle kolmenkymmenen vuoden ikäinen mies, joka on luonteeltaan ystävällinen, ilman kunnianhimoa, hajamielinen, ja jolla on, umpimähkään kuvaillen, rottakoiraa suurempi ja doggia pienempi koira."""
70,I laughed incredulously as Sherlock Holmes leaned back in his settee and blew little wavering rings of smoke up to the ceiling.,"Minä nauroin tuntematta itseäni vakuutetuksi. Sherlock Holmes nojautui taaksepäin selkänojaa vasten ja puhalteli suustaan pieniä savupilviä, jotka nousivat kattoa kohden."
71,"""As to the latter part, I have no means of checking you,"" said I, ""but at least it is not difficult to find out a few particulars about the man's age and professional career.""","""Mitä sinun viimmeiseen väitteeseesi tulee, niin en voi sitä tarkastaa"", sanoin minä, ""mutta erittäin vaikea ei ole ottaa selvä miehen ijästä ja tutkinnoista."""
72,From my small medical shelf I took down the Medical Directory and turned up the name.,"Pieneltä hyllyltä, jossa minulla oli lääketieteelliset kirjani, otin lääkäriluettelon ja etsin nimen."
73,"There were several Mortimers, but only one who could be our visitor.","Monella tohtorilla oli nimi Mortimer, mutta vain yhden ansioluettelo sopi kysymyksessä olevalle henkilölle."
74,I read his record aloud.,Minä luin sen ääneen.
75,"""Mortimer, James, M.R.C.S., 1882, Grimpen, Dartmoor, Devon.","""Mortimer, James, M.R.C.S. 1882 Grimpen, Dartmoor, Devon."
76,"House-surgeon, from 1882 to 1884, at Charing Cross Hospital.",Toiminut apulaislääkärinä Charing Cross Hospitalissa vuodesta 1882 vuoteen 1884.
77,"Winner of the Jackson prize for Comparative Pathology, with essay entitled 'Is Disease a Reversion?'",Sai Jacksonin stipendin vertailevassa patologiassa erään kirjotuksen johdosta nimeltä 'Tautien synnystä.'
78,Corresponding member of the Swedish Pathological Society.,Ruotsin lääkäriseuran kirjeenvaihtajajäsen.
79,Author of 'Some Freaks of Atavism' (Lancet 1882).,"Kirjottanut: 'Muutamia mielijohteita atavismista' (Lancet, 1882)."
80,'Do We Progress?',"Menemmekö eteenpäin?"""
81,"(Journal of Psychology, March, 1883).","(Journal of Psychology, 1883)."
82,"Medical Officer for the parishes of Grimpen, Thorsley, and High Barrow.""","""Toimii lääkärinä Grimpenin, Thorsbyn ja Higt Barronin kunnissa."""
83,"""No mention of that local hunt, Watson,"" said Holmes with a mischievous smile, ""but a country doctor, as you very astutely observed. I think that I am fairly justified in my inferences.","""Siinä ei sanota mitään hänen toimistaan jossakin urheiluseurassa, Watson"", sanoi Holmes kurillisella hymyllä, ""mutta niinkuin aivan oikein huomautit, toimii hän lääkärinä maalla."
84,"As to the adjectives, I said, if I remember right, amiable, unambitious, and absent-minded.","Ellen erehdy, sanoin, että hän oli luonteeltaan ystävällinen, ilman kunnianhimoa ja hajamielinen."
85,"It is my experience that it is only an amiable man in this world who receives testimonials, only an unambitious one who abandons a London career for the country, and only an absent-minded one who leaves his stick and not his visiting-card after waiting an hour in your room.""","Olen tehnyt sen havainnon, että vain ystävälliset ja hyväntahtoiset ihmiset saavat muistolahjoja, että täytyy olla ilman kunnianhimoa voidakseen lähteä Lontoosta ansaitsemaan elantoansa maalla, ja että vain hajamielinen mies jättää keppinsä eikä käyntikorttiansa, kun on tuntikauden istunut jonkun huoneessa odottamassa."""
86,"""And the dog?""","""Ja koira?"""
87,"""Has been in the habit of carrying this stick behind his master.","""On tottunut käymään herransa jälessä kantaen hänen keppiänsä."
88,"Being a heavy stick the dog has held it tightly by the middle, and the marks of his teeth are very plainly visible.","Keppi kun on jokseenkin raskas, on koira kantanut sitä keskeltä, ja voi selvään nähdä sen hampaiden jälet."
89,"The dog's jaw, as shown in the space between these marks, is too broad in my opinion for a terrier and not broad enough for a mastiff.","Koiran leuka on, mikäli merkkien etäisyys näyttää, minun luullakseni liian leveä ollakseen rotta-koiran, eikä kyllin leveä ollakseen doggin."
90,"It may have been--yes, by Jove, it is a curly-haired spaniel.""","Mahdollisesti on se -- niin, todella se onkin kiharakarvainen pelto-pyykoira."""
91,He had risen and paced the room as he spoke. Now he halted in the recess of the window.,Puhuessaan oli hän noussut ylös ja alkanut kulkea edestakasin huoneessa.
92,There was such a ring of conviction in his voice that I glanced up in surprise.,"Viimeiset sanansa olivat niin vakuuttavat, että nostin päätäni ja katsoin häneen."
93,"""My dear fellow, how can you possibly be so sure of that?""","""Veliseni, kuinka on mahdollista, että voit olla siitä niin varma?"""
94,"""For the very simple reason that I see the dog himself on our very door-step, and there is the ring of its owner.","""Siitä yksinkertaisesta syystä, että koira juuri seisoo tuolla ulkona portailla, ja sen omistaja soittaa kelloa päästäkseen sisään."
95,"Don't move, I beg you, Watson.","Älä toki mene, Watson."
96,"He is a professional brother of yours, and your presence may be of assistance to me.","Tehän olette molemmat lääkäreitä, ja sinun läsnäolosi voi olla minulle avuksi."
97,"Now is the dramatic moment of fate, Watson, when you hear a step upon the stair which is walking into your life, and you know not whether for good or ill.","Nyt on määräävä hetki käsissä, Watson; me kuulemme askeleita portaissa, se on eräs mies, joka kohta on astunut meidän elämäämme ja tulee vaikuttamaan siihen -- pahaksiko vai hyväksi, emme tiedä."
98,"What does Dr. James Mortimer, the man of science, ask of Sherlock Holmes, the specialist in crime?","Mitä mahtaa tohtori James Mortimerilla, tiedemiehellä, olla sanottavaa Sherlock Holmesille, rikosasiain erikoistuntijalle, tai pyydettävää häneltä."
